name,year,count
20th,2010,1281
16th,2018,925
12th,2006,3502
12th,2002,5719
2nd,2013,4924
3rd,2014,4231
24th,2013,2183
19th,2006,2727
3rd,2004,3343
17th,2018,432
18th,2012,3756
1st,2015,3693
24th,2018,420
2nd,2006,4612
20th,2016,1059
12th,2005,3741
24th,2009,3382
7th,2015,3457
17th,2011,1761
17th,2006,1589
8th,2005,3985
11th,2008,5946
25th,2016,2471
18th,2008,4126
7th,2017,2841
11th,2012,5875
22nd,2001,3042
1st,2007,6541
1st,2006,4268
14th,2018,433
7th,2001,5104
17th,2002,2023
9th,2011,4413
2nd,2005,4283
5th,2002,3807
11th,2015,4710
1st,2016,3512
19th,2007,4805
18th,2018,960
4th,2008,5540
3rd,2018,1166
17th,2015,1197
16th,2008,3017
9th,2014,2908
17th,2005,1669
9th,2001,5095
22nd,2011,3261
5th,2014,3652
24th,2017,697
16th,2001,2500
9th,2007,4728
15th,2015,2336
25th,2014,3060
18th,2007,4502
19th,2017,1780
3rd,2013,5145
20th,2003,1333
10th,2013,3220
19th,2005,2608
15th,2010,4323
22nd,2017,1854
2nd,2002,6694
11th,2018,1599
17th,2003,1816
14th,2017,652
9th,2008,4499
22nd,2005,2359
20th,2017,913
4th,2011,4707
24th,2004,1658
1st,2012,4771
6th,2009,6165
12th,2011,3173
5th,2013,3862
25th,2017,1956
17th,2014,1047
8th,2015,3192
6th,2010,6782
7th,2004,5512
17th,2008,2124
1st,2003,5610
4th,2017,2329
18th,2010,4352
15th,2005,2879
14th,2009,2885
20th,2012,1447
16th,2010,2367
6th,2003,3677
2nd,2008,5696
20th,2011,1449
15th,2013,3469
14th,2003,3069
22nd,2013,2772
22nd,2004,2839
24th,2003,2231
15th,2001,3169
25th,2007,4251
11th,2006,6844
24th,2015,1320
25th,2010,4409
14th,2011,2691
4th,2003,3884
2nd,2009,5318
18th,2004,2889
24th,2005,2337
15th,2011,3572
6th,2011,6242
10th,2007,3718
24th,2012,2463
2nd,2010,4814
12th,2009,4373
2nd,2007,5794
20th,2004,1123
8th,2013,4517
19th,2012,3409
25th,2009,4607
12th,2007,4298
5th,2008,4461
7th,2013,4978
11th,2011,6633
7th,2007,5293
12th,2010,3726
5th,2009,4705
2nd,2018,1683
24th,2006,2651
9th,2012,4153
6th,2017,2848
18th,2016,2329
14th,2007,3412
24th,2007,3327
9th,2013,3467
5th,2016,2412
19th,2009,4617
14th,2006,2637
10th,2005,2933
25th,2012,3987
20th,2002,1711
16th,2012,2351
11th,2016,4034
18th,2002,4252
3rd,2016,2854
22nd,2015,1819
24th,2016,1059
7th,2003,5343
8th,2003,4733
12th,2012,3445
17th,2009,2372
3rd,2009,5591
18th,2001,3987
12th,2004,4012
16th,2007,3073
7th,2010,6018
16th,2013,2490
1st,2018,1946
16th,2011,2503
10th,2017,2350
17th,2010,1918
7th,2002,5587
8th,2017,2492
7th,2008,5460
11th,2013,6027
10th,2016,2288
1st,2001,9709
18th,2015,2367
5th,2011,4492
14th,2004,2714
10th,2012,3234
10th,2010,3533
25th,2006,3025
6th,2007,6430
10th,2001,3357
6th,2014,4582
18th,2014,2759
11th,2002,6673
11th,2007,7013
22nd,2010,3824
14th,2016,818
3rd,2003,3298
14th,2002,3517
5th,2003,3091
16th,2014,1823
19th,2014,2527
7th,2005,4905
24th,2010,3135
12th,2015,2326
12th,2017,2119
14th,2014,1386
6th,2005,3932
25th,2018,721
4th,2005,3882
8th,2014,4010
24th,2002,2178
15th,2012,3287
6th,2013,5377
9th,2006,3658
1st,2005,4073
12th,2003,4139
10th,2006,3562
2nd,2001,8154
25th,2015,2986
19th,2003,3712
19th,2013,3313
10th,2008,3796
11th,2010,7175
22nd,2016,1808
8th,2012,5292
22nd,2002,3050
11th,2003,5786
19th,2002,4012
4th,2007,5419
19th,2011,3731
14th,2001,3653
11th,2017,3686
17th,2017,1035
8th,2009,5808
12th,2013,3140
1st,2010,5641
